pid,cpu_percent,username,name,memory_percent
5992,0.0,,IntelAudioService.exe,0.03787645486081979
6000,0.0,,NahimicService.exe,0.1222618984687922
6012,0.0,,LenovoUtilityService.exe,0.07410399875458724
6020,0.0,,svchost.exe,0.04549054373809086
6032,0.0,,RstMwService.exe,0.014621960487243492
6040,0.0,,RtkAudUService64.exe,0.03271148374343528
6048,0.0,,UDClientService.exe,0.16307244490333744
6056,0.0,,ipfsvc.exe,0.01319128773641867
6080,0.0,,svchost.exe,0.09648554026325348
6092,0.0,,pservice.exe,0.04013158309517077
6100,0.0,,svchost.exe,0.010742169976532117
6120,0.0,,svchost.exe,0.01265781654119586
6140,0.0,,MsMpEng.exe,2.0919345459941887
6200,0.0,,NgcIso.exe,0.016586104433291123
6216,0.0,,logi_lamparray_service.exe,0.014258230126864299
6276,0.0,,svchost.exe,0.09386668166852331
6300,0.0,,ipf_uf.exe,0.02306050484804073
6576,0.0,AA30-LAPTOP\aalop,powershell.exe,0.4324753984908585
6616,0.0,,WmiPrvSE.exe,0.11394459756145466
6660,0.0,,jhi_service.exe,0.0055771988591476
6696,0.0,AA30-LAPTOP\aalop,msedge.exe,1.3582661604186683
6760,0.0,AA30-LAPTOP\aalop,ShellHost.exe,0.8688548361831203
6844,0.0,AA30-LAPTOP\aalop,svchost.exe,0.2662506237975681
6876,0.0,AA30-LAPTOP\aalop,msedge.exe,0.129536505676376
6888,0.0,AA30-LAPTOP\aalop,SystemSettings.exe,0.039476868446488234
6928,0.0,,svchost.exe,0.027473766553974918
6944,0.0,AA30-LAPTOP\aalop,ipf_helper.exe,0.056014475498395465
7256,0.0,,MpDefenderCoreService.exe,0.08099062691109993
7316,0.0,,SecurityHealthService.exe,0.11200470230609899
7464,0.0,AA30-LAPTOP\aalop,backgroundTaskHost.exe,0.2843886444351437
7592,0.0,AA30-LAPTOP\aalop,RuntimeBroker.exe,0.08901694353013409
7640,0.0,AA30-LAPTOP\aalop,conhost.exe,0.05186794939007268
7656,0.0,AA30-LAPTOP\aalop,conhost.exe,0.05938504350457596
7768,0.0,AA30-LAPTOP\aalop,Code.exe,0.768683494934691
7832,0.0,,svchost.exe,0.09326046440122467
7836,0.0,AA30-LAPTOP\aalop,msedgewebview2.exe,0.6204512487348246
7872,0.0,,svchost.exe,0.02063563577884612
7960,0.0,AA30-LAPTOP\aalop,dllhost.exe,0.08761051947000122
8036,0.0,AA30-LAPTOP\aalop,LockApp.exe,0.4285956079801472
8064,0.0,,svchost.exe,0.008947766865328107
8264,0.0,AA30-LAPTOP\aalop,ShellExperienceHost.exe,0.46955164655884407
8312,0.0,,svchost.exe,0.028298222037501087
8416,0.0,,AggregatorHost.exe,0.045927020170545896
8452,0.0,AA30-LAPTOP\aalop,conhost.exe,0.047745671972441846
8480,0.0,AA30-LAPTOP\aalop,chrome.exe,0.1918313920639855
8500,0.0,AA30-LAPTOP\aalop,Battle.net.exe,0.5106531772816927
8600,0.0,,parsecd.exe,0.1913464182501466
8628,0.0,AA30-LAPTOP\aalop,msedge.exe,1.3284402708675747
8708,0.0,AA30-LAPTOP\aalop,nextcloud.exe,0.6721009599086697
8844,0.0,AA30-LAPTOP\aalop,Battle.net.exe,0.21561935763278464
8856,0.0,,svchost.exe,0.012294086180816666
8956,0.0,,svchost.exe,0.15298498957548787
9060,0.0,,svchost.exe,0.03632453865653524
9116,0.0,AA30-LAPTOP\aalop,msedgewebview2.exe,0.685946962293771
9124,0.0,AA30-LAPTOP\aalop,Battle.net.exe,0.1961961563885358
9132,0.0,AA30-LAPTOP\aalop,ONENOTEM.EXE,0.016149628000836094
9160,0.0,AA30-LAPTOP\aalop,explorer.exe,2.167541963571677
9220,0.0,AA30-LAPTOP\aalop,svchost.exe,0.25245311879385074
9252,0.0,AA30-LAPTOP\aalop,svchost.exe,0.2220695093568423
9344,0.0,AA30-LAPTOP\aalop,conhost.exe,0.051964944152840475
9676,0.0,,svchost.exe,0.02677055452390848
9824,0.0,,svchost.exe,0.10717921285840172
10008,0.0,AA30-LAPTOP\aalop,StartMenuExperienceHost.exe,0.8593493494318774
10032,0.0,AA30-LAPTOP\aalop,python.exe,0.11515703209605196
10152,0.0,,svchost.exe,0.03642153341930303
10264,0.0,AA30-LAPTOP\aalop,steamwebhelper.exe,0.11949754772991032
10308,0.0,,svchost.exe,0.029171174902411147
10400,0.0,,unsecapp.exe,0.027546512626050755
10616,0.0,,svchost.exe,0.12965774912983574
10688,0.0,AA30-LAPTOP\aalop,conhost.exe,0.04384163277103852
10920,0.0,,svchost.exe,0.05630545978669881
11052,0.0,AA30-LAPTOP\aalop,FnHotkeyUtility.exe,0.15768923556972542
11068,0.0,AA30-LAPTOP\aalop,msedge.exe,0.4486492751823865
11120,0.0,,svchost.exe,0.08841072626283544
11316,0.0,,AppProvisioningPlugin.exe,0.03945261975579629
11320,0.0,AA30-LAPTOP\aalop,msedgewebview2.exe,0.13108842188066056
11408,0.0,AA30-LAPTOP\aalop,svchost.exe,0.14391597925670002
11584,0.0,AA30-LAPTOP\aalop,ai.exe,0.24884006388075078
11808,0.0,AA30-LAPTOP\aalop,ctfmon.exe,0.2369824541323891
11860,0.0,AA30-LAPTOP\aalop,TextInputHost.exe,0.8474432423021319
11956,0.0,AA30-LAPTOP\aalop,msedgewebview2.exe,0.121437442985266
12180,0.0,,conhost.exe,0.009069010318787837
12204,0.0,,svchost.exe,0.019132216955945466
12408,0.0,AA30-LAPTOP\aalop,olk.exe,0.48919308601932043
12572,0.0,,svchost.exe,0.06830856167921213
12576,0.0,AA30-LAPTOP\aalop,chrome.exe,0.14718955250011276
12756,0.0,,svchost.exe,0.01011170401854152
13060,0.0,AA30-LAPTOP\aalop,msedge.exe,0.2002456877340908
13080,0.0,AA30-LAPTOP\aalop,steamwebhelper.exe,0.09005963722988777
13180,0.0,,svchost.exe,0.014524965724475706
13656,0.0,,NisSrv.exe,0.03181428218783327
13992,0.0,AA30-LAPTOP\aalop,chrome.exe,0.5713476500836338
14044,0.0,AA30-LAPTOP\aalop,RtkAudUService64.exe,0.10504532807751046
14184,0.0,,OfficeClickToRun.exe,0.18867906227403253
14400,0.0,,msdtc.exe,0.008220306144569724
14508,0.0,AA30-LAPTOP\aalop,FnHotkeyCapsLKNumLK.exe,0.09672802717017294
14532,0.0,AA30-LAPTOP\aalop,OneDrive.exe,0.9981246062618848
14600,0.0,AA30-LAPTOP\aalop,RuntimeBroker.exe,0.16998332175054207
14644,0.0,,svchost.exe,0.08327000383614286
15000,0.0,AA30-LAPTOP\aalop,svchost.exe,0.16159327477112873
15004,0.0,,FileSyncHelper.exe,0.11231993528509428
15044,0.0,AA30-LAPTOP\aalop,msedge.exe,0.5135387714740343
15052,0.0,AA30-LAPTOP\aalop,ApplicationFrameHost.exe,0.30318137972140197
15076,0.0,AA30-LAPTOP\aalop,unsecapp.exe,0.06491374498233968
15148,0.0,AA30-LAPTOP\aalop,Code.exe,0.2996653195710698
15260,0.0,AA30-LAPTOP\aalop,steamwebhelper.exe,0.17631223002114
15292,0.0,,dwm.exe,1.2465039450194888
15492,0.0,AA30-LAPTOP\aalop,parsecd.exe,0.35740145210859336
15496,0.0,AA30-LAPTOP\aalop,chrome.exe,0.13363453440331488
15636,0.0,AA30-LAPTOP\aalop,RuntimeBroker.exe,0.11278066040824127
16140,0.0,AA30-LAPTOP\aalop,python.exe,0.41074857163087475
16160,0.0,AA30-LAPTOP\aalop,conhost.exe,0.05203769022491631
16352,0.0,AA30-LAPTOP\aalop,CodeSetup-stable-dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1.exe,0.08341549598029455
16368,0.0,AA30-LAPTOP\aalop,msedge.exe,0.063871051282586
16452,0.0,AA30-LAPTOP\aalop,CodeSetup-stable-dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1.tmp,0.27398595612829885
16644,0.0,,svchost.exe,0.06059747803917328
16684,0.0,AA30-LAPTOP\aalop,WINWORD.EXE,1.8237440269412653
16692,0.0,AA30-LAPTOP\aalop,Code.exe,1.8523332332670697
16708,0.0,AA30-LAPTOP\aalop,chrome.exe,0.05870608016520148
17012,0.0,AA30-LAPTOP\aalop,SearchHost.exe,0.8831373150006766
17020,0.0,AA30-LAPTOP\aalop,msedgewebview2.exe,0.28460688265137124
17248,0.0,AA30-LAPTOP\aalop,steamwebhelper.exe,2.170500303836094
17356,0.0,AA30-LAPTOP\aalop,powershell.exe,0.43249964718155043
17544,0.0,,svchost.exe,0.0619796534086142
17592,0.0,AA30-LAPTOP\aalop,RuntimeBroker.exe,0.39241656146776355
17688,0.0,AA30-LAPTOP\aalop,chrome.exe,0.5390241453912696
17700,0.0,AA30-LAPTOP\aalop,FileCoAuth.exe,0.15781047902318515
17880,0.0,,conhost.exe,0.008899269483944214
17900,0.0,,svchost.exe,0.140327173034292
18080,0.0,,svchost.exe,0.05502027918002567
18404,0.0,AA30-LAPTOP\aalop,svchost.exe,0.15671928794204756
18496,0.0,AA30-LAPTOP\aalop,msedgewebview2.exe,2.827858059804061
18500,0.0,AA30-LAPTOP\aalop,Code.exe,0.19811180295319952
18564,0.0,,svchost.exe,0.03680951247037416
18892,0.0,AA30-LAPTOP\aalop,Lenovo.Modern.ImController.PluginHost.Device.exe,0.2055076536142431
19532,0.0,,steamservice.exe,0.07754731283284359
19536,0.0,,svchost.exe,0.08792575244899652
19608,0.0,AA30-LAPTOP\aalop,smartscreen.exe,0.08200907192016167
19800,0.0,AA30-LAPTOP\aalop,chrome.exe,1.9421988809714221
20016,0.0,AA30-LAPTOP\aalop,winrtutil32.exe,0.07398275530112752
20112,0.0,AA30-LAPTOP\aalop,chrome.exe,1.6215341952611269
20168,0.0,AA30-LAPTOP\aalop,SecurityHealthSystray.exe,0.08310026300129925
20284,0.0,,WmiPrvSE.exe,0.18332010163111243
20580,0.0,AA30-LAPTOP\aalop,steamwebhelper.exe,0.2927301940331732
20636,0.0,,svchost.exe,0.2144554204795712
20844,0.0,,svchost.exe,0.16845565423694947
21296,0.0,AA30-LAPTOP\aalop,unsecapp.exe,0.06134918745062361
21388,0.0,AA30-LAPTOP\aalop,svchost.exe,0.06964223966726917
